config,optimizer,lr,wd,batch_size,train_acc,val_acc,test_acc
1,Adam,0.0008,0.0001,64,0.7686921165574881,0.7523709167544784,0.7418335089567967
2,Adam,0.001,0.0001,64,0.8400722837135758,0.7397260273972602,0.7513171759747103
3,Adam,0.0005,0.0001,64,0.716964084029817,0.6807165437302424,0.6838777660695469
4,RMSprop,0.0008,0.0,64,0.856787892477976,0.7523709167544784,0.7492096944151738
5,RMSprop,0.0005,0.0,64,0.8005421278518184,0.7407797681770284,0.7428872497365648
